"store_id","location","page","map","lat","lng"
"1021","KFC 1021 W Northern Lights Blvd, Anchorage, Alaska", "https://locations.kfc.com/ak/anchorage/1021-w-northern-lights-blvd", "https://maps.google.com/maps?cid=1641717733113641529","61.1955702","-149.9019927"
"123","KFC 123 West Northern Lights Blvd, Anchorage, Alaska", "https://locations.kfc.com/ak/anchorage/123-west-northern-lights-blvd", "https://maps.google.com/maps?cid=1641717733113641529","61.1953731","-149.8840538"
"1751","KFC 1751 Abbot Road, Anchorage, Alaska", "https://locations.kfc.com/ak/anchorage/1751-abbot-road", "https://maps.google.com/maps?cid=6935897440420352895","",""
"3922","KFC 3922 San Jeronimo Street, Anchorage, Alaska", "https://locations.kfc.com/ak/anchorage/3922-san-jeronimo-street", "https://maps.google.com/maps?cid=15135198928994401954","",""
"3428","KFC 3428 Airport Way, Fairbanks, Alaska", "https://locations.kfc.com/ak/fairbanks/3428-airport-way", "https://maps.google.com/maps?cid=14226962215577455406","64.8374751","-147.8015483"
"62","KFC 62 College Road, Fairbanks, Alaska", "https://locations.kfc.com/ak/fairbanks/62-college-road", "https://maps.google.com/maps?cid=15362336224835128729","64.8552112","-147.7140967"
"1761","KFC 1761 Palmer Wasilla Highway, Wasilla, Alaska", "https://locations.kfc.com/ak/wasilla/1761-palmer-wasilla-highway","","61.578308","-149.407187"
"7285","KFC 7285 U.S. Highway 431, Albertville, Alabama", "https://locations.kfc.com/al/albertville/7285-us-highway-431", "https://maps.google.com/maps?cid=274422870514222707","",""
"955","KFC 955 Airport Drive, Alexander City, Alabama", "https://locations.kfc.com/al/alexander-city/955-airport-drive", "https://maps.google.com/maps?cid=2235076048876732545","32.920717","-85.953081"
"2000","KFC 2000 Quintard Avenue, Anniston, Alabama", "https://locations.kfc.com/al/anniston/2000-quintard-avenue", "https://maps.google.com/maps?cid=10612259268488754716","33.6705965","-85.8271465"
"205","KFC 205 U.S. Highway 72 W, Athens, Alabama", "https://locations.kfc.com/al/athens/205-us-highway-72-w", "https://maps.google.com/maps?cid=8769404323592294068","",""
"1225","KFC 1225 South Main Street, Atmore, Alabama", "https://locations.kfc.com/al/atmore/1225-south-main-street", "https://maps.google.com/maps?cid=7527027091918098075","31.0096293","-87.4936972"
"500","KFC 500 Cherry Street, Attalla, Alabama", "https://locations.kfc.com/al/attalla/500-cherry-street", "https://maps.google.com/maps?cid=8903697693231504920","34.019648","-86.077333"
"1580","KFC 1580 Opelika Road, Auburn, Alabama", "https://locations.kfc.com/al/auburn/1580-opelika-road", "https://maps.google.com/maps?cid=1630230920000825195","32.6243965","-85.4464609"
"1818","KFC 1818 Ninth Avenue North, Bessemer, Alabama", "https://locations.kfc.com/al/bessemer/1818-ninth-avenue-north", "https://maps.google.com/maps?cid=3754629126641995191","",""
"1653","KFC 1653 Center Point Pkwy, Birmingham, Alabama", "https://locations.kfc.com/al/birmingham/1653-center-point-pkwy", "https://maps.google.com/maps?cid=6868717904401814490","33.6140028","-86.6864518"
"1674","KFC 1674 Gadsden Highway, Birmingham, Alabama", "https://locations.kfc.com/al/birmingham/1674-gadsden-highway", "https://maps.google.com/maps?cid=18182378358711016054","33.5880056","-86.6980824"
"1800","KFC 1800 20th Street Ensley, Birmingham, Alabama", "https://locations.kfc.com/al/birmingham/1800-20th-street-ensley", "https://maps.google.com/maps?cid=13582892300665215138","33.5096676","-86.8856735"
"1928","KFC 1928 Bessemer Road, Birmingham, Alabama", "https://locations.kfc.com/al/birmingham/1928-bessemer-road", "https://maps.google.com/maps?cid=13930223334200418557","33.492129","-86.8835678"
"7909","KFC 7909 Crestwood Boulevard, Birmingham, Alabama", "https://locations.kfc.com/al/birmingham/7909-crestwood-boulevard", "https://maps.google.com/maps?cid=1822843068866068012","33.5305862","-86.7137439"
"828","KFC 828 Green Springs Highway, Birmingham, Alabama", "https://locations.kfc.com/al/birmingham/828-green-springs-highway", "https://maps.google.com/maps?cid=18347996443265723903","33.459027","-86.817193"
